"Time shift (s)"	"Autocorrelation of sum"
0.000000000E0	6.786834746E0
2.007500000E-2	6.681210068E0
4.015000000E-2	6.403470256E0
6.022600000E-2	6.033359356E0
8.030100000E-2	5.622126429E0
1.003760001E-1	5.212339071E0
1.204520001E-1	4.843340092E0
1.405270001E-1	4.515773052E0
1.606030001E-1	4.191755639E0
1.806780001E-1	3.831606953E0
2.007530001E-1	3.402959246E0
2.208290000E-1	2.899175674E0
2.409040000E-1	2.331108857E0
2.609790000E-1	1.725542428E0
2.810550000E-1	1.119175761E0
3.011300000E-1	5.415994001E-1
3.212050001E-1	8.683702782E-3
3.412810001E-1	-4.788542928E-1
3.613560001E-1	-9.342869638E-1
3.814310001E-1	-1.376487565E0
4.015070001E-1	-1.821609188E0
4.215820000E-1	-2.274387243E0
4.416570000E-1	-2.729927250E0
4.617327080E-1	-3.173218769E0
4.818077080E-1	-3.583553033E0
5.018837080E-1	-3.946224336E0
5.219587080E-1	-4.254961332E0
5.420337080E-1	-4.514863506E0
5.621097080E-1	-4.737959406E0
5.821847080E-1	-4.940351037E0
6.022597080E-1	-5.129138673E0
6.223357080E-1	-5.306627837E0
6.424107080E-1	-5.459688966E0
6.624857080E-1	-5.563212490E0
6.825617080E-1	-5.594117551E0
7.026367080E-1	-5.539231091E0
7.227117080E-1	-5.401784488E0
7.427877080E-1	-5.194237050E0
7.628627080E-1	-4.942345157E0
7.829387080E-1	-4.668734314E0
8.030137080E-1	-4.388522427E0
8.230887080E-1	-4.104312415E0
8.431647080E-1	-3.808177914E0
8.632397080E-1	-3.488651358E0
8.833147080E-1	-3.133729529E0
9.033907080E-1	-2.735424245E0
9.234657080E-1	-2.292839870E0
9.435407080E-1	-1.814476783E0
9.636167080E-1	-1.313365019E0
9.836917080E-1	-8.021349462E-1
1.003766708E0	-2.920630826E-1
1.023842708E0	2.082783876E-1
1.043917708E0	6.947743726E-1
1.063992708E0	1.166594579E0
1.084068708E0	1.628638687E0
1.104143708E0	2.081213680E0
1.124219708E0	2.520129046E0
1.144294708E0	2.939447872E0
1.164369708E0	3.332588269E0
1.184445708E0	3.689685855E0
1.204520708E0	4.011094848E0
1.224595708E0	4.296227762E0
1.244671708E0	4.547098791E0
1.264746708E0	4.767979182E0
1.284821708E0	4.959024304E0
1.304897708E0	5.116906309E0
1.324972708E0	5.232784103E0
1.345047708E0	5.293828733E0
1.365123708E0	5.290297634E0
1.385198708E0	5.217275196E0
1.405273708E0	5.077377115E0
1.425349708E0	4.876915945E0
1.445424708E0	4.627023818E0
1.465500833E0	4.338449969E0
1.485575833E0	4.021363368E0
1.505650833E0	3.682916642E0
1.525726833E0	3.325921297E0
1.545801833E0	2.950290170E0
1.565876833E0	2.555451352E0
1.585952833E0	2.139759946E0
1.606027833E0	1.703469021E0
1.626102833E0	1.245916741E0
1.646178833E0	7.725792067E-1
1.666253833E0	2.908544473E-1
1.686328833E0	-1.893470376E-1
1.706404833E0	-6.596202409E-1
1.726479833E0	-1.115054526E0
1.746554833E0	-1.551116399E0
1.766630833E0	-1.965314254E0
1.786705833E0	-2.362416920E0
1.806780833E0	-2.742921758E0
1.826856833E0	-3.095718019E0
1.846931833E0	-3.413222312E0
1.867007833E0	-3.700046222E0
1.887082833E0	-3.955286740E0
1.907157833E0	-4.178033810E0
1.927233833E0	-4.374713563E0
1.947308833E0	-4.546679126E0
1.967383833E0	-4.687756033E0
1.987459833E0	-4.787056263E0
2.007534833E0	-4.833461502E0
2.027609833E0	-4.817978456E0
2.047685833E0	-4.737905891E0
2.067760833E0	-4.595111185E0
2.087835833E0	-4.402138799E0
2.107911833E0	-4.173581848E0
2.127986833E0	-3.922816255E0
2.148062833E0	-3.658077719E0
2.168137833E0	-3.382349517E0
2.188212833E0	-3.095515384E0
2.208288833E0	-2.791744632E0
2.228363833E0	-2.466475553E0
2.248438833E0	-2.119929024E0
2.268514833E0	-1.753064900E0
2.288589833E0	-1.367832583E0
2.308664833E0	-9.735604812E-1
2.328740833E0	-5.765013208E-1
2.348815833E0	-1.797549106E-1
2.368890833E0	2.154075352E-1
2.388966833E0	6.089216623E-1
2.409041833E0	1.004770915E0
2.429116833E0	1.402074931E0
2.449192833E0	1.798028131E0
2.469267375E0	2.188431112E0
2.489342375E0	2.562562897E0
2.509418375E0	2.906298777E0
2.529493375E0	3.210184133E0
2.549569375E0	3.473864165E0
2.569644375E0	3.703676062E0
2.589719375E0	3.914544571E0
2.609795375E0	4.117744976E0
2.629870375E0	4.316502152E0
2.649945375E0	4.502870937E0
2.670021375E0	4.658195339E0
2.690096375E0	4.758567084E0
2.710171375E0	4.782921790E0
2.730247375E0	4.720822528E0
2.750322375E0	4.570594369E0
2.770397375E0	4.347458149E0
2.790473375E0	4.073077747E0
2.810548375E0	3.769714479E0
2.830623375E0	3.456587769E0
2.850699375E0	3.141553949E0
2.870774375E0	2.824143118E0
2.890850375E0	2.496685488E0
2.910925375E0	2.149795278E0
2.931000375E0	1.776435203E0
2.951076375E0	1.375608222E0
2.971151375E0	9.506319583E-1
2.991226375E0	5.090257337E-1
3.011302375E0	6.664999188E-2
3.031377375E0	-3.665637096E-1
3.051452375E0	-7.812761170E-1
3.071528375E0	-1.169640597E0
3.091603375E0	-1.526073955E0
3.111678375E0	-1.852468080E0
3.131754375E0	-2.157060138E0
3.151829375E0	-2.444952930E0
3.171904375E0	-2.713440599E0
3.191980375E0	-2.961532279E0
3.212055375E0	-3.183683321E0
3.232130375E0	-3.373468342E0
3.252206375E0	-3.529442614E0
3.272281375E0	-3.653026395E0
3.292357375E0	-3.747258344E0
3.312432375E0	-3.815026212E0
3.332507375E0	-3.856962173E0
3.352583375E0	-3.871287956E0
3.372658375E0	-3.853124997E0
3.392733375E0	-3.796227592E0
3.412809375E0	-3.696971555E0
3.432884375E0	-3.554798497E0
3.452959375E0	-3.373246386E0
3.473036083E0	-3.158228621E0
3.493111083E0	-2.915983595E0
3.513186083E0	-2.652769576E0
3.533262083E0	-2.374965339E0
3.553337083E0	-2.089713932E0
3.573412083E0	-1.801895324E0
3.593488083E0	-1.517388851E0
3.613563083E0	-1.237991407E0
3.633638083E0	-9.629197465E-1
3.653714083E0	-6.866738308E-1
3.673789083E0	-4.020409760E-1
3.693865083E0	-1.015774498E-1
3.713940083E0	2.196424496E-1
3.734015083E0	5.581687474E-1
3.754091083E0	9.050834333E-1
3.774166083E0	1.246194571E0
3.794241083E0	1.567243209E0
3.814317083E0	1.857440677E0
3.834392083E0	2.109497899E0
3.854467083E0	2.321993995E0
3.874543083E0	2.501103175E0
3.894618083E0	2.660857182E0
3.914693083E0	2.816311689E0
3.934769083E0	2.977492167E0
3.954844083E0	3.144382778E0
3.974919083E0	3.307465381E0
3.994995083E0	3.452609587E0
4.015070083E0	3.561217233E0
4.035145083E0	3.616924925E0
4.055221083E0	3.609993709E0
4.075296083E0	3.535643636E0
4.095372083E0	3.404809929E0
4.115447083E0	3.232096751E0
4.135522083E0	3.032950714E0
4.155598083E0	2.817638585E0
4.175673083E0	2.590024494E0
4.195748083E0	2.347940085E0
4.215824083E0	2.089563017E0
4.235899083E0	1.812430235E0
4.255974083E0	1.507620943E0
4.276050083E0	1.187231492E0
4.296125083E0	8.588872368E-1
4.316200083E0	5.295833554E-1
4.336276083E0	2.060835658E-1
4.356351083E0	-1.077109629E-1
4.376426083E0	-4.104095381E-1
4.396502083E0	-7.031378482E-1
4.416577083E0	-9.852657915E-1
4.436653083E0	-1.255861736E0
4.456727458E0	-1.512831045E0
4.476802458E0	-1.751470053E0
4.496878458E0	-1.963823070E0
4.516953458E0	-2.142011054E0
4.537028458E0	-2.280419424E0
4.557104458E0	-2.379066666E0
4.577179458E0	-2.444520199E0
4.597254458E0	-2.488761296E0
4.617330458E0	-2.519795659E0
4.637405458E0	-2.543319075E0
4.657480458E0	-2.560107180E0
4.677556458E0	-2.570100213E0
4.697631458E0	-2.568190192E0
4.717706458E0	-2.545373344E0
4.737782458E0	-2.494120902E0
4.757857458E0	-2.411137305E0
4.777932458E0	-2.297672826E0
4.798008458E0	-2.158327983E0
4.818083458E0	-2.002123495E0
4.838159458E0	-1.834693803E0
4.858234458E0	-1.663665359E0
4.878309458E0	-1.491067294E0
4.898385458E0	-1.314029177E0
4.918460458E0	-1.133761663E0
4.938535458E0	-9.540863350E-1
4.958611458E0	-7.759298045E-1
4.978686458E0	-5.921969439E-1
4.998761458E0	-4.003956672E-1
